Object ID,Title,Object Name,Department,Culture,Period,Artist Display Name,Medium,Dimensions,Classification,Object Date,General_Text_Description
45664,明	佚名	樓觀松風圖	團扇|Palaces among Autumn Mountains,Fan mounted as an album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,"Round fan mounted as an album leaf; ink, color, and gold on silk",Image: 9 1/2 x 10 1/16 in. (24.1 x 25.6 cm),Paintings,Unknown,"明	佚名	樓觀松風圖	團扇|Palaces among Autumn Mountains is a Ming dynasty (1368–1644) Fan mounted as an album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Round fan mounted as an album leaf; ink, color, and gold on silk. Measuring Image: 9 1/2 x 10 1/16 in. (24.1 x 25.6 cm), the work is classified as Paintings ."
45665,明  佚名  樓閣江帆圖  團扇|Village and Temples in Jiangnan,Fan mounted as an album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,"Round fan mounted as an album leaf; ink, color, and gold on silk",Image: 9 9/16 x 10 3/16 in. (24.3 x 25.9 cm),Paintings,early 15th century,"明  佚名  樓閣江帆圖  團扇|Village and Temples in Jiangnan is a Ming dynasty (1368–1644) Fan mounted as an album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Round fan mounted as an album leaf; ink, color, and gold on silk. Measuring Image: 9 9/16 x 10 3/16 in. (24.3 x 25.9 cm), the work is classified as Paintings and was created in early 15th century."
45666,"明   佚名   瑤臺獻壽圖   扇|Paying homage to Xiwangmu, the Queen Mother of the West",Fan mounted as an album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Fan mounted as an album leaf; ink and color on silk,Image: 11 3/8 × 11 3/8 in. (28.9 × 28.9 cm),Paintings,15th century,"明   佚名   瑤臺獻壽圖   扇|Paying homage to Xiwangmu, the Queen Mother of the West is a Ming dynasty (1368–1644) Fan mounted as an album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Fan mounted as an album leaf; ink and color on silk. Measuring Image: 11 3/8 × 11 3/8 in. (28.9 × 28.9 cm), the work is classified as Paintings and was created in 15th century."
45667,明  佚名  貍奴芭蕉圖  冊頁|Frolicking Kittens under a Banana Tree,Album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Album leaf; ink and color on silk,Image: 9 1/2 x 9 5/8 in. (24.1 x 24.4 cm),Paintings,15th century,"明  佚名  貍奴芭蕉圖  冊頁|Frolicking Kittens under a Banana Tree is a Ming dynasty (1368–1644) Album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Album leaf; ink and color on silk. Measuring Image: 9 1/2 x 9 5/8 in. (24.1 x 24.4 cm), the work is classified as Paintings and was created in 15th century."
45668,明  佚名  犬戲圖  冊頁|Puppies Playing beside a Palm Tree and Garden Rock,Album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Album leaf; ink and color on silk,Image: 8 15/16 x 8 1/2 in. (22.7 x 21.6 cm),Paintings,15th century,"明  佚名  犬戲圖  冊頁|Puppies Playing beside a Palm Tree and Garden Rock is a Ming dynasty (1368–1644) Album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Album leaf; ink and color on silk. Measuring Image: 8 15/16 x 8 1/2 in. (22.7 x 21.6 cm), the work is classified as Paintings and was created in 15th century."
45669,明　周文靖　漁隱圖　軸|Rustic retreat among fishermen,Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Zhou Wenjing,Hanging scroll; ink and color on silk,"Image: 35 15/16 x 16 1/2 in. (91.3 x 41.9 cm)
Overall with mounting: 79 1/2 x 21 5/16 in. (201.9 x 54.1 cm)
Overall with knobs: 79 1/2 x 23 1/8 in. (201.9 x 58.7 cm)",Paintings,15th century,"明　周文靖　漁隱圖　軸|Rustic retreat among fishermen is a Ming dynasty (1368–1644) Hanging scroll by the China artist Zhou Wenjing. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 35 15/16 x 16 1/2 in. (91.3 x 41.9 cm)
Overall with mounting: 79 1/2 x 21 5/16 in. (201.9 x 54.1 cm)
Overall with knobs: 79 1/2 x 23 1/8 in. (201.9 x 58.7 cm), the work is classified as Paintings and was created in 15th century."
45670,"一鱖禾蟹圖|Flowers, fish, and crabs",Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Liu Jie,Hanging scroll; ink and color on silk,"Image: 69 1/4 × 49 1/2 in. (175.9 × 125.7 cm)
Overall with knobs: 8 ft. 6 7/8 in. × 54 in. (261.3 × 137.2 cm)",Paintings,mid-16th century,"一鱖禾蟹圖|Flowers, fish, and crabs is a Ming dynasty (1368–1644) Hanging scroll by the China artist Liu Jie. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 69 1/4 × 49 1/2 in. (175.9 × 125.7 cm)
Overall with knobs: 8 ft. 6 7/8 in. × 54 in. (261.3 × 137.2 cm), the work is classified as Paintings and was created in mid-16th century."
45671,明   徐敬   嵗寒清白圖   軸|The Pure Whiteness of Winter,Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Xu Jing,Hanging scroll; ink on silk,"Image: 58 7/8 x 30 in. (149.5 x 76.2 cm)
Overall with mounting: 107 3/4 x 37 1/4 in. (273.7 x 94.6 cm)
Overall with knobs: 107 3/4 x 41 1/4 in. (273.7 x 104.8 cm)",Paintings,dated 1441,"明   徐敬   嵗寒清白圖   軸|The Pure Whiteness of Winter is a Ming dynasty (1368–1644) Hanging scroll by the China artist Xu Jing. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink on silk. Measuring Image: 58 7/8 x 30 in. (149.5 x 76.2 cm)
Overall with mounting: 107 3/4 x 37 1/4 in. (273.7 x 94.6 cm)
Overall with knobs: 107 3/4 x 41 1/4 in. (273.7 x 104.8 cm), the work is classified as Paintings and was created in dated 1441."
45672,Unknown,Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Ma Liang|Unidentified artist,Hanging scroll; ink and color on silk,62 x 36 1/2 in. (157.5 x 92.7 cm),Paintings,Unknown,"Unknown is a Ming dynasty (1368–1644) Hanging scroll by the China artist Ma Liang|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring 62 x 36 1/2 in. (157.5 x 92.7 cm), the work is classified as Paintings ."
45673,明  佚名  舊傳李唐  四時山水圖  卷|The Four Seasons,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Li Tang|Unidentified artist,Handscroll; ink and color on silk,"Image: 13 13/16 in. x 18 ft. 8 3/8 in. (35.1 x 569.9 cm)
Overall with mounting: 16 5/16 in. x 35 ft. 1/4 in. (41.4 x 1067.4 cm)",Paintings,15th century,"明  佚名  舊傳李唐  四時山水圖  卷|The Four Seasons is a Ming dynasty (1368–1644) Handscroll by the China artist Li Tang|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Handscroll; ink and color on silk. Measuring Image: 13 13/16 in. x 18 ft. 8 3/8 in. (35.1 x 569.9 cm)
Overall with mounting: 16 5/16 in. x 35 ft. 1/4 in. (41.4 x 1067.4 cm), the work is classified as Paintings and was created in 15th century."
45674,明　佚名　舊傳夏珪　長江萬里圖　卷 (後半)|Second half of Ten Thousand Li of the Yangzi River,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Handscroll; ink and color on silk,Image: 23 3/8 in. × 16 ft. (59.4 × 487.7 cm),Paintings,late 15th century,"明　佚名　舊傳夏珪　長江萬里圖　卷 (後半)|Second half of Ten Thousand Li of the Yangzi River is a Ming dynasty (1368–1644) Handscroll by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Handscroll; ink and color on silk. Measuring Image: 23 3/8 in. × 16 ft. (59.4 × 487.7 cm), the work is classified as Paintings and was created in late 15th century."
45675,明  姚綬  文飲圖  卷|Drinking and Composing Poetry,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Yao Shou,Handscroll; ink on paper,"Image: 9 3/16 × 30 3/8 in. (23.3 × 77.2 cm)
Other (Colophon): 9 3/16 × 30 in. (23.3 × 76.2 cm)
Overall with mounting: 9 11/16 in. × 24 ft. 11 3/16 in. (24.6 × 759.9 cm)",Paintings,1485,"明  姚綬  文飲圖  卷|Drinking and Composing Poetry is a Ming dynasty (1368–1644) Handscroll by the China artist Yao Shou. This piece, part of the Asian Art collection, is crafted using Handscroll; ink on paper. Measuring Image: 9 3/16 × 30 3/8 in. (23.3 × 77.2 cm)
Other (Colophon): 9 3/16 × 30 in. (23.3 × 76.2 cm)
Overall with mounting: 9 11/16 in. × 24 ft. 11 3/16 in. (24.6 × 759.9 cm), the work is classified as Paintings and was created in 1485."
45676,明  林良  二鷹圖  軸|Two hawks in a thicket,Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Lin Liang,Hanging scroll; ink and color on silk,"Image: 58 5/8 x 32 3/4 in. (148.9 x 83.2 cm)
Overall with mounting: 108 1/2 x 39 in. (275.6 x 99.1 cm)
Overall with knobs: 108 1/2 x 43 7/8 in. (275.6 x 111.4 cm)",Paintings,mid- 15th century,"明  林良  二鷹圖  軸|Two hawks in a thicket is a Ming dynasty (1368–1644) Hanging scroll by the China artist Lin Liang. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 58 5/8 x 32 3/4 in. (148.9 x 83.2 cm)
Overall with mounting: 108 1/2 x 39 in. (275.6 x 99.1 cm)
Overall with knobs: 108 1/2 x 43 7/8 in. (275.6 x 111.4 cm), the work is classified as Paintings and was created in mid- 15th century."
45677,元     佚名     倣夏永    呂洞賓過岳陽樓    冊頁|明   佚名   呂洞賓過岳陽樓圖   冊頁|The Immortal Lü Dongbin Appearing over the Yueyang Pavilion,Album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Album leaf; ink on silk,Image: 8 5/8 x 7 3/8 in. (21.9 x 18.7 cm),Paintings,15th–16th century,"元     佚名     倣夏永    呂洞賓過岳陽樓    冊頁|明   佚名   呂洞賓過岳陽樓圖   冊頁|The Immortal Lü Dongbin Appearing over the Yueyang Pavilion is a Ming dynasty (1368–1644) Album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Album leaf; ink on silk. Measuring Image: 8 5/8 x 7 3/8 in. (21.9 x 18.7 cm), the work is classified as Paintings and was created in 15th–16th century."
45680,明　傳蔣嵩　冬景山水圖　卷|Winter landscape,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Jiang Song,Handscroll; ink and color on paper,Image: 12 1/4 x 277 in. (31.1 x 703.6 cm),Paintings,first half 16th century,"明　傳蔣嵩　冬景山水圖　卷|Winter landscape is a Ming dynasty (1368–1644) Handscroll by the China artist Jiang Song. This piece, part of the Asian Art collection, is crafted using Handscroll; ink and color on paper. Measuring Image: 12 1/4 x 277 in. (31.1 x 703.6 cm), the work is classified as Paintings and was created in first half 16th century."
45681,明   佚名   風雨艤舟圖   團扇|Misty Landscape,Fan mounted as an album leaf,Asian Art,China,Ming dynasty (1368–1644),Unidentified artist,Fan mounted as an album leaf; ink and color on silk,Image: 8 7/8 x 8 1/16 in. (22.5 x 20.5 cm),Paintings,15th–16th century,"明   佚名   風雨艤舟圖   團扇|Misty Landscape is a Ming dynasty (1368–1644) Fan mounted as an album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Fan mounted as an album leaf; ink and color on silk. Measuring Image: 8 7/8 x 8 1/16 in. (22.5 x 20.5 cm), the work is classified as Paintings and was created in 15th–16th century."
45682,明  沈周  秋林閒釣圖  軸|Silent fisherman in an autumn wood,Hanging scroll,Asian Art,China,Ming dynasty (1368–1644),Shen Zhou,Hanging scroll; ink and color on paper,"Image: 60 x 24 3/4 in. (152.4 x 62.9 cm)
Overall with mounting: 107 x 32 1/8 in. (271.8 x 81.6 cm)
Overall with knobs: 107 x 35 1/4 in. (271.8 x 89.5 cm)",Paintings,dated 1475,"明  沈周  秋林閒釣圖  軸|Silent fisherman in an autumn wood is a Ming dynasty (1368–1644) Hanging scroll by the China artist Shen Zhou. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on paper. Measuring Image: 60 x 24 3/4 in. (152.4 x 62.9 cm)
Overall with mounting: 107 x 32 1/8 in. (271.8 x 81.6 cm)
Overall with knobs: 107 x 35 1/4 in. (271.8 x 89.5 cm), the work is classified as Paintings and was created in dated 1475."
45683,明 沈周 溪山秋色圖 卷|明  沈周  溪山秋色圖  卷明  楷書溪山秋色圖  引首|Autumn Colors among Streams and Mountains,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Shen Zhou,Handscroll; ink on paper,"Image: 8 1/8 in. x 21 ft. 1/4 in. (20.6 x 640.7 cm)
Overall with mounting: 10 1/4 in. x 36 ft. 4 1/4 in. (26 x 1108.1 cm)",Paintings,ca. 1490–1500,"明 沈周 溪山秋色圖 卷|明  沈周  溪山秋色圖  卷明  楷書溪山秋色圖  引首|Autumn Colors among Streams and Mountains is a Ming dynasty (1368–1644) Handscroll by the China artist Shen Zhou. This piece, part of the Asian Art collection, is crafted using Handscroll; ink on paper. Measuring Image: 8 1/8 in. x 21 ft. 1/4 in. (20.6 x 640.7 cm)
Overall with mounting: 10 1/4 in. x 36 ft. 4 1/4 in. (26 x 1108.1 cm), the work is classified as Paintings and was created in ca. 1490–1500."
45685,Unknown,Handscroll,Asian Art,China,Ming dynasty (1368–1644),Shen Zhou,Handscroll; ink and color on paper,10 13/16 x 198 3/4 in. (27.5 x 504.8 cm),Paintings,Unknown,"Unknown is a Ming dynasty (1368–1644) Handscroll by the China artist Shen Zhou. This piece, part of the Asian Art collection, is crafted using Handscroll; ink and color on paper. Measuring 10 13/16 x 198 3/4 in. (27.5 x 504.8 cm), the work is classified as Paintings ."
45686,Unknown,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Soga Chokuan,Hanging scroll; ink and color on paper,"Image: 44 3/4 in. × 18 in. (113.7 × 45.7 cm)
Overall with mounting: 82 3/8 × 24 in. (209.2 × 61 cm)
Overall with knobs: 82 3/8 × 26 3/8 × 1 1/8 in. (diam. of knobs) (209.2 × 67 × 2.9 cm)",Paintings,late 18th–early 19th century,"Unknown is a Edo period (1615–1868) Hanging scroll by the Japan artist Soga Chokuan. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on paper. Measuring Image: 44 3/4 in. × 18 in. (113.7 × 45.7 cm)
Overall with mounting: 82 3/8 × 24 in. (209.2 × 61 cm)
Overall with knobs: 82 3/8 × 26 3/8 × 1 1/8 in. (diam. of knobs) (209.2 × 67 × 2.9 cm), the work is classified as Paintings and was created in late 18th–early 19th century."
45687,筆者不詳　竹林七賢図|Seven Sages of the Bamboo Grove,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Unknown,Hanging scroll; ink and color on silk,"Image: 24 3/8 in. × 35 in. (61.9 × 88.9 cm)
Overall with mounting: 60 × 42 in. (152.4 × 106.7 cm)
Overall with knobs: 60 × 45 in. (152.4 × 114.3 cm)",Paintings,Unknown,"筆者不詳　竹林七賢図|Seven Sages of the Bamboo Grove is a Edo period (1615–1868) Hanging scroll by the Japan artist.This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 24 3/8 in. × 35 in. (61.9 × 88.9 cm)
Overall with mounting: 60 × 42 in. (152.4 × 106.7 cm)
Overall with knobs: 60 × 45 in. (152.4 × 114.3 cm), the work is classified as Paintings ."
45689,八仙図|Eight Daoist Immortals Welcoming Jurōjin,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Unknown,Hanging scroll; ink and color on silk,"Image: 55 1/4 in. × 31 in. (140.3 × 78.7 cm)
Overall with mounting: 93 1/2 × 36 1/4 in. (237.5 × 92.1 cm)
Overall with knobs: 93 1/2 × 39 1/2 in. (237.5 × 100.3 cm)",Paintings,17th century,"八仙図|Eight Daoist Immortals Welcoming Jurōjin is a Edo period (1615–1868) Hanging scroll by the Japan artist.This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 55 1/4 in. × 31 in. (140.3 × 78.7 cm)
Overall with mounting: 93 1/2 × 36 1/4 in. (237.5 × 92.1 cm)
Overall with knobs: 93 1/2 × 39 1/2 in. (237.5 × 100.3 cm), the work is classified as Paintings and was created in 17th century."
45690,八仙図|Eight Daoist Immortals Welcoming Jurōjin,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Unknown,Hanging scroll; ink and color on silk,"Image: 55 × 31 in. (139.7 × 78.7 cm)
Overall with mounting: 93 1/2 × 36 5/8 in. (237.5 × 93 cm)
Overall with knobs: 93 1/2 × 39 5/8 in. (237.5 × 100.6 cm)",Paintings,17th century,"八仙図|Eight Daoist Immortals Welcoming Jurōjin is a Edo period (1615–1868) Hanging scroll by the Japan artist.This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 55 × 31 in. (139.7 × 78.7 cm)
Overall with mounting: 93 1/2 × 36 5/8 in. (237.5 × 93 cm)
Overall with knobs: 93 1/2 × 39 5/8 in. (237.5 × 100.6 cm), the work is classified as Paintings and was created in 17th century."
45691,Unknown,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Unknown,Hanging scroll; ink and color on paper,54 7/8 x 30 in. (139.4 x 78.4 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Hanging scroll by the Japan artist.This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on paper. Measuring 54 7/8 x 30 in. (139.4 x 78.4 cm), the work is classified as Paintings and was created in 17th century."
45692,山水図|River Landscape in Evening,Hanging scroll,Asian Art,Japan,Muromachi period (1392–1573) or Momoyama period (1573–1615),Kano Motonobu,Hanging scroll; ink on paper,"Image: 25 1/2 × 12 1/2 in. (64.8 × 31.8 cm)
Overall with mounting: 59 1/2 × 18 1/4 in. (151.1 × 46.4 cm)
Overall with knobs: 59 1/2. × 20 1/8 in. × 1 in. (diam. of knobs)  (151.1 × 51.1 × 2.5 cm)",Paintings,16th century,"山水図|River Landscape in Evening is a Muromachi period (1392–1573) or Momoyama period (1573–1615) Hanging scroll by the Japan artist Kano Motonobu. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink on paper. Measuring Image: 25 1/2 × 12 1/2 in. (64.8 × 31.8 cm)
Overall with mounting: 59 1/2 × 18 1/4 in. (151.1 × 46.4 cm)
Overall with knobs: 59 1/2. × 20 1/8 in. × 1 in. (diam. of knobs)  (151.1 × 51.1 × 2.5 cm), the work is classified as Paintings and was created in 16th century."
45693,伝狩野山楽筆　粟に小禽図屏風|Autumn Millet and Small Birds,Screens,Asian Art,Japan,Edo period (1615–1868),Kano Sanraku,"Pair of eight-panel foldingscreens; ink, color, and gold on gilt paper",Image (each screen): 33 1/2 x 134 1/2 in. (85.1 x 341.6 cm),Paintings,Unknown,"伝狩野山楽筆　粟に小禽図屏風|Autumn Millet and Small Birds is a Edo period (1615–1868) Screens by the Japan artist Kano Sanraku. This piece, part of the Asian Art collection, is crafted using Pair of eight-panel foldingscreens; ink, color, and gold on gilt paper. Measuring Image (each screen): 33 1/2 x 134 1/2 in. (85.1 x 341.6 cm), the work is classified as Paintings ."
45695,伝狩野永徳筆　唐美人唐子図屏風|Chinese Women and Children in a Palace Garden,Screen,Asian Art,Japan,Edo period (1615–1868),Kano Eitoku,"Six-panel folding screen; ink, color, gold, and gold leaf on paper
",65 1/4 x 146 1/4 in. (165.8 x 371.5 cm),Paintings,17th century,"伝狩野永徳筆　唐美人唐子図屏風|Chinese Women and Children in a Palace Garden is a Edo period (1615–1868) Screen by the Japan artist Kano Eitoku. This piece, part of the Asian Art collection, is crafted using Six-panel folding screen; ink, color, gold, and gold leaf on paper
. Measuring 65 1/4 x 146 1/4 in. (165.8 x 371.5 cm), the work is classified as Paintings and was created in 17th century."
45696,Unknown,Painting,Asian Art,Japan,Muromachi period (1392–1573),Isei,Framed painting; ink and color on paper,Image: 15 5/16 × 13 1/16 in. (38.9 × 33.1 cm),Paintings,Unknown,"Unknown is a Muromachi period (1392–1573) Painting by the Japan artist Isei. This piece, part of the Asian Art collection, is crafted using Framed painting; ink and color on paper. Measuring Image: 15 5/16 × 13 1/16 in. (38.9 × 33.1 cm), the work is classified as Paintings ."
45697,Unknown,Painting,Asian Art,Japan,Muromachi period (1392–1573),Isei,Framed painting; ink and color on paper,Image: 15 1/4 × 12 15/16 in. (38.7 × 32.8 cm),Paintings,Unknown,"Unknown is a Muromachi period (1392–1573) Painting by the Japan artist Isei. This piece, part of the Asian Art collection, is crafted using Framed painting; ink and color on paper. Measuring Image: 15 1/4 × 12 15/16 in. (38.7 × 32.8 cm), the work is classified as Paintings ."
45698,狩野探幽筆　神農・夏冬山水図|Winter Landscape,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Kano Tan'yū,One from a set of three hanging scrolls; ink and color on silk,44 1/2 x 15 1/2 in. (113 x 39.4 cm),Paintings,1662,"狩野探幽筆　神農・夏冬山水図|Winter Landscape is a Edo period (1615–1868) Hanging scroll by the Japan artist Kano Tan'yū. This piece, part of the Asian Art collection, is crafted using One from a set of three hanging scrolls; ink and color on silk. Measuring 44 1/2 x 15 1/2 in. (113 x 39.4 cm), the work is classified as Paintings and was created in 1662."
45699,狩野探幽筆　神農・夏冬山水図|Portrait of Emperor Shennong,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Kano Tan'yū,One from a set of three hanging scrolls; ink and color on silk,41 1/2 x 18 3/16 in. (105.4 x 46.2 cm),Paintings,1665,"狩野探幽筆　神農・夏冬山水図|Portrait of Emperor Shennong is a Edo period (1615–1868) Hanging scroll by the Japan artist Kano Tan'yū. This piece, part of the Asian Art collection, is crafted using One from a set of three hanging scrolls; ink and color on silk. Measuring 41 1/2 x 18 3/16 in. (105.4 x 46.2 cm), the work is classified as Paintings and was created in 1665."
45700,狩野探幽筆　神農・夏冬山水図|Summer Landscape,Hanging scroll,Asian Art,Japan,Edo period (1615–1868),Kano Tan'yū,One from a set of three hanging scrolls; ink and color on silk,44 1/2 x 15 1/2 in. (113 x 39.4 cm),Paintings,1662,"狩野探幽筆　神農・夏冬山水図|Summer Landscape is a Edo period (1615–1868) Hanging scroll by the Japan artist Kano Tan'yū. This piece, part of the Asian Art collection, is crafted using One from a set of three hanging scrolls; ink and color on silk. Measuring 44 1/2 x 15 1/2 in. (113 x 39.4 cm), the work is classified as Paintings and was created in 1662."
45701,狩野探幽・狩野尚信・清原雪信　花鳥図屏風|Birds and Flowers,Screen,Asian Art,Japan,Edo period (1615–1868),Kano Tan'yū|Kiyohara Yukinobu|Kano Naonobu,"Six-panel folding screen; ink and color on silk
",70 in. x 12 ft. 11 1/2 in. (177.8 x 395 cm),Paintings,17th century,"狩野探幽・狩野尚信・清原雪信　花鳥図屏風|Birds and Flowers is a Edo period (1615–1868) Screen by the Japan artist Kano Tan'yū|Kiyohara Yukinobu|Kano Naonobu. This piece, part of the Asian Art collection, is crafted using Six-panel folding screen; ink and color on silk
. Measuring 70 in. x 12 ft. 11 1/2 in. (177.8 x 395 cm), the work is classified as Paintings and was created in 17th century."
45702,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Eighteen unmounted shikishi leaves; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,late 17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Eighteen unmounted shikishi leaves; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in late 17th century."
45703,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45704,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45705,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45706,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45708,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45709,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45710,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45711,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
45712,Unknown,Painting,Asian Art,Japan,Edo period (1615–1868),Kano Shōun,Unmounted shikisi leaf; ink and color on silk,7 1/4 × 6 1/2 in. (18.4 × 16.5 cm),Paintings,17th century,"Unknown is a Edo period (1615–1868) Painting by the Japan artist Kano Shōun. This piece, part of the Asian Art collection, is crafted using Unmounted shikisi leaf; ink and color on silk. Measuring 7 1/4 × 6 1/2 in. (18.4 × 16.5 cm), the work is classified as Paintings and was created in 17th century."
